"X","datetimestamp","language","doc_id","negative","positive","neg_positive","neg_negative","hub_id","event_date","event_title","speaker_type","speaker_party","speaker_gender","intervention_id","speaker_country","speaker_polgroup","intervention_lang","speaker_full_name","intervention_header","intervention_seq_num","intervention_header_en","subject_of_business_id","subject_of_business_title","tone","paragraph","paragraphLower","iaRestreint","Perception.IA","Mention.Régulation.IA","Perception.regulation","Mention.éthique.IA","term","intervention_text_cleaned","is_mep","ai_topic_category_num","ai_topic_category","speaker_polgroup_normalized","manual_intercoder_reconciled_category","speaker_polgroup_clean","weighted_position","total_meps","n_parties","n_countries","political_orientation","rank_left_right","perception_ordered","year","post_chatgpt_factor","country_ai_attitude","gender_clean","topic_digital_economy","topic_education","topic_social_impacts"
433,"2023-10-13T00:31:01Z","en","2023-06-01-920230601EN12",10,8,0,0,324372,"2023-06-01","Thursday, 1 June 2023","MEP","-","male","920230601EN-12-202303","Croatia","Non-Attached Members","hr","Kolakušić, Mislav","Mislav Kolakušić (NI)",12,"Mislav Kolakušić (NI)",2,"Foreign interference in all democratic processes in the European Union, including disinformation - Election integrity and resilience build-up towards European elections 2024 (debate)",-2,"dear chairman, dear colleagues, dear citizens – misinformation. the only ones that certainly won't be replaced by artificial intelligence sumainstreamquasi journalists. no intelligence, not even artificial ones, can lie and invent as much as they can, so their propaganda jobs will remain safe. in croatia and the european union, the bigger the liar and completely amoral character, the greater the chance of being declared a journalist. whether you have completed a school or not, you can become, in a day, a science journalist. today, facts and truth are the biggest enemy of new wave waxer co2 democracy. however, every day there are more and more citizens who are aware of the false information that is served to them every day through mainstreammedia. how to fight them? they should simply be excluded and ignored as if they did not exist.","dear chairman, dear colleagues, dear citizens – misinformation. the only ones that certainly won't be replaced by artificial intelligence sumainstreamquasi journalists. no intelligence, not even artificial ones, can lie and invent as much as they can, so their propaganda jobs will remain safe. in croatia and the european union, the bigger the liar and completely amoral character, the greater the chance of being declared a journalist. whether you have completed a school or not, you can become, in a day, a science journalist. today, facts and truth are the biggest enemy of new wave waxer co2 democracy. however, every day there are more and more citizens who are aware of the false information that is served to them every day through mainstreammedia. how to fight them? they should simply be excluded and ignored as if they did not exist.",TRUE,"Pessimist","No",NA,"No",9,NA,TRUE,8,"Other/Miscellaneous","Non-attached Members","Other/Miscellaneous","Non-attached Members",6.39090064688268,61,28,13,"Right",8,"Pessimist",2023,"Post-ChatGPT","AI-Optimistic Countries","male",0,0,0
435,"2023-10-13T00:31:01Z","en","2023-06-01-920230601EN37",8,4,0,0,324397,"2023-06-01","Thursday, 1 June 2023","MEP","Partido Socialista Obrero Español","male","920230601EN-37-202303","Spain","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","es","Fernando López Aguilar, Juan","Juan Fernando López Aguilar (S&D)",37,"Juan Fernando López Aguilar (S&D)",2,"Foreign interference in all democratic processes in the European Union, including disinformation - Election integrity and resilience build-up towards European elections 2024 (debate)",-4,"madam president, during its term of office, this committee, which has studied foreign interference in democratic processes, has produced a very important document of conclusions. i am particularly interested in its third and fifth conclusions because they are the ones that connect technological platforms – and the need to subject them to a european regulatory framework – with the defence against foreign interference. because big tech companies do not aim to produce free public opinion through pluralistic debate, but exclusively to exploit algorithms that radicalize and confront their users. that is why artificial intelligence is a twist in a technological revolution that threatens to manufacture and disseminate false images and voices with the appearance of veracity. the european union must be at the forefront in defending its idea of democracy, not only for itself, but for democracy in the world. and this is what the conclusions document points to.","madam president, during its term of office, this committee, which has studied foreign interference in democratic processes, has produced a very important document of conclusions. i am particularly interested in its third and fifth conclusions because they are the ones that connect technological platforms – and the need to subject them to a european regulatory framework – with the defence against foreign interference. because big tech companies do not aim to produce free public opinion through pluralistic debate, but exclusively to exploit algorithms that radicalize and confront their users. that is why artificial intelligence is a twist in a technological revolution that threatens to manufacture and disseminate false images and voices with the appearance of veracity. the european union must be at the forefront in defending its idea of democracy, not only for itself, but for democracy in the world. and this is what the conclusions document points to.",TRUE,"Pessimist","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Pessimist",2023,"Post-ChatGPT","Other EU Countries","male",0,0,0
437,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN90",37,47,0,0,324747,"2023-06-13","Tuesday, 13 June 2023","MEP","Partito Democratico","male","920230613EN-90-202303","Italy","Group Of The Progressive Alliance Of Socialists And Democrats In The European Parliament","it","Benifei, Brando","Brando Benifei, Relatore",90,"Brando Benifei, Relator",8,"Artificial Intelligence Act (debate)",10,"(it) mr president, ladies and gentlemen, the whole world is watching us while alarms are being raised about artificial intelligence in general, the risk of extinction of the human race by sentient algorithms, alarms often launched by the same big tech that fears what they have created. in the meantime, europe has moved forward, without stopping, and in recent months has worked hard to propose a concrete response to the risks that already exist, not those that can be futured, of powerful technologies such as artificial intelligence. they told us: in this way you will curb innovation, so europe will never be competitive. while today many of these same people agree with us: rules are necessary. today, therefore, we are here to ask parliament for a mandate to start negotiations on the world's first law on the subject. our position contains many improvements to the commission's proposal, which clarify and update the text, promote legal certainty, avoid duplication with existing laws, stimulate innovation, while keeping human beings and their fundamental rights as a fixed point. it must remain at the heart of the european approach to artificial intelligence. i will mention just a few of the key points of our proposal: a clear and balanced definition, in line with the work of international organisations; a chapter to regulate systems such as chatgpt, previously excluded from the text, to achieve transparency and mitigate the risks of discrimination and generation of illegal content; in addition to watermarking, to make identifiable the content produced by generative ai which, although already provided for in fact by article 52, i think will be even more clearly specified in the trialogue. but we also haven't forgotten the risks to the environment in training algorithms with billions of data and parameters. we have introduced an obligation for companies and public authorities using high-risk artificial intelligence to carry out a fundamental rights impact assessment based on the specific context of use, as an additional safeguard for vulnerable groups. mention should also be made of the addition of the right to a judicial remedy, to an explanation, to be represented by collective action in the event of a negative impact on health, safety or fundamental rights, and the addition of the environment, democracy and the rule of law among the objectives to be protected, as well as the obligation to discuss the use of artificial intelligence in the workplace with trade unions and to inform the workers involved,  in addition to the expansion of practices considered unacceptable, such as predictive policing, biometric categorization, indiscriminate collection of facial images from the web, emotional recognition in some contexts and opposition to the use of biometric recognition in public spaces for surveillance purposes. the use of these cameras has no proven benefit on the safety of citizens, while the risks of abuse, discrimination and inaccuracy are proven, especially on some people, women, non-white people, children. the introduction of these technologies presents risks for the stability of our countries, for its democratic stability, and for this reason we will fight with the council in the coming months to defend this approach and counter dangers to our freedom. i am thinking of the worrying words of some ministers of the interior, including the italian piantedosi. we want artificial intelligence to unfold its full positive potential for creativity, productivity and improving daily life. for this reason, we have also engaged in an intense work of confrontation with legislators from all over the world to find common approaches. this is why we support the work on the ai pact to anticipate the effects of the regulation and the ai code of conduct for generative artificial intelligence. but let us also issue a clear warning: all approximation and adaptation activities are useful, provided that they do not think of replacing the binding rules that we are going to establish. we will not be influenced by attempts that may come from large corporations or government institutions and not to dilute and weaken this effort to make our democracies stronger in the context of technological transformation. we will do our best in the interests of europeans together with the commission, whom i thank, together with the council, together with all my colleagues.","(it) mr president, ladies and gentlemen, the whole world is watching us while alarms are being raised about artificial intelligence in general, the risk of extinction of the human race by sentient algorithms, alarms often launched by the same big tech that fears what they have created. in the meantime, europe has moved forward, without stopping, and in recent months has worked hard to propose a concrete response to the risks that already exist, not those that can be futured, of powerful technologies such as artificial intelligence. they told us: in this way you will curb innovation, so europe will never be competitive. while today many of these same people agree with us: rules are necessary. today, therefore, we are here to ask parliament for a mandate to start negotiations on the world's first law on the subject. our position contains many improvements to the commission's proposal, which clarify and update the text, promote legal certainty, avoid duplication with existing laws, stimulate innovation, while keeping human beings and their fundamental rights as a fixed point. it must remain at the heart of the european approach to artificial intelligence. i will mention just a few of the key points of our proposal: a clear and balanced definition, in line with the work of international organisations; a chapter to regulate systems such as chatgpt, previously excluded from the text, to achieve transparency and mitigate the risks of discrimination and generation of illegal content; in addition to watermarking, to make identifiable the content produced by generative ai which, although already provided for in fact by article 52, i think will be even more clearly specified in the trialogue. but we also haven't forgotten the risks to the environment in training algorithms with billions of data and parameters. we have introduced an obligation for companies and public authorities using high-risk artificial intelligence to carry out a fundamental rights impact assessment based on the specific context of use, as an additional safeguard for vulnerable groups. mention should also be made of the addition of the right to a judicial remedy, to an explanation, to be represented by collective action in the event of a negative impact on health, safety or fundamental rights, and the addition of the environment, democracy and the rule of law among the objectives to be protected, as well as the obligation to discuss the use of artificial intelligence in the workplace with trade unions and to inform the workers involved,  in addition to the expansion of practices considered unacceptable, such as predictive policing, biometric categorization, indiscriminate collection of facial images from the web, emotional recognition in some contexts and opposition to the use of biometric recognition in public spaces for surveillance purposes. the use of these cameras has no proven benefit on the safety of citizens, while the risks of abuse, discrimination and inaccuracy are proven, especially on some people, women, non-white people, children. the introduction of these technologies presents risks for the stability of our countries, for its democratic stability, and for this reason we will fight with the council in the coming months to defend this approach and counter dangers to our freedom. i am thinking of the worrying words of some ministers of the interior, including the italian piantedosi. we want artificial intelligence to unfold its full positive potential for creativity, productivity and improving daily life. for this reason, we have also engaged in an intense work of confrontation with legislators from all over the world to find common approaches. this is why we support the work on the ai pact to anticipate the effects of the regulation and the ai code of conduct for generative artificial intelligence. but let us also issue a clear warning: all approximation and adaptation activities are useful, provided that they do not think of replacing the binding rules that we are going to establish. we will not be influenced by attempts that may come from large corporations or government institutions and not to dilute and weaken this effort to make our democracies stronger in the context of technological transformation. we will do our best in the interests of europeans together with the commission, whom i thank, together with the council, together with all my colleagues.",TRUE,"Mixed","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3.71054100478179,431,52,27,"Left",4,"Mixed",2023,"Post-ChatGPT","Other EU Countries","male",0,0,0
438,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN92",3,10,0,0,324749,"2023-06-13","Tuesday, 13 June 2023","Rapporteur For The Opinion Of The Committee On Industry, Research And Energy","Citizens For European Development Of Bulgaria","female","920230613EN-92-202303","Bulgaria","Group Of The European People's Party (Christian Democrats)","en","Maydell, Eva","Eva Maydell, rapporteur for the opinion of the Committee on Industry, Research and Energy",92,"Eva Maydell, rapporteur for the opinion of the Committee on Industry, Research and Energy",8,"Artificial Intelligence Act (debate)",7,"mr president, executive vice-president, commissioner, dear colleagues, regulating artificial intelligence may at first sound like a very technical matter, but it is so much more than that. it is about asking ourselves the big question: what kind of society do we actually want to live in? and to me, the answer is very clear. a society in which ai enables our democracy and not one in which it undermines it. but, of course, this is much more easier said than it is actually done in practice. for us to get there, i think we should not be playing whac-a-mole or regulating the next big thing. it is about putting in place effective guardrails. it is about putting principles and mechanisms that will last for at least the next couple of years to come. but it is also about working with our partners. it is about working with international partners to shape a global governance framework. it is about maximising the potential of ai, while at the same time addressing the existing and looming concerns. so no, it is not technical. it is about the future of our democracy.","mr president, executive vice-president, commissioner, dear colleagues, regulating artificial intelligence may at first sound like a very technical matter, but it is so much more than that. it is about asking ourselves the big question: what kind of society do we actually want to live in? and to me, the answer is very clear. a society in which ai enables our democracy and not one in which it undermines it. but, of course, this is much more easier said than it is actually done in practice. for us to get there, i think we should not be playing whac-a-mole or regulating the next big thing. it is about putting in place effective guardrails. it is about putting principles and mechanisms that will last for at least the next couple of years to come. but it is also about working with our partners. it is about working with international partners to shape a global governance framework. it is about maximising the potential of ai, while at the same time addressing the existing and looming concerns. so no, it is not technical. it is about the future of our democracy.",TRUE,"Optimist","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)","Ethical, Regulatory, and Governance Frameworks for AI","Group of the European People's Party (Christian Democrats)",6.65767785991233,534,66,27,"Right",9,"Optimist",2023,"Post-ChatGPT","Other EU Countries","female",0,0,0
439,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN97",10,18,0,1,324754,"2023-06-13","Tuesday, 13 June 2023","MEP","Ciudadanos – Partido De La Ciudadanía","female","920230613EN-97-202303","Spain","Renew Europe Group","es","Solís Pérez, Susana","Susana Solís Pérez, ponente de opinión de la Comisión de Industria, Investigación y Energía",97,"Susana Solís Pérez, draftsman of the opinion of the Committee on Industry, Research and Energy",8,"Artificial Intelligence Act (debate)",8,"mr president, commissioner, this is historic legislation. europe is a pioneer in having an artificial intelligence law. a technology that can bring many benefits, but that also poses clear risks in fundamental rights, security or disinformation. that is why i welcome the approach that this law has taken, because i believe it is vital to distinguish between technology and use. we do not condemn artificial intelligence itself, but risky practices. we are very clear about what is unacceptable for europe – prohibited uses, as intrusive and discriminatory – and that exceptions should only be given under judicial authorization. we want secure and transparent systems subject to rules, limits and accountability for high-risk uses such as health, environment, transportation, education or justice applications. we are also clear that we need a flexible law that encourages innovation, that gives certainty to companies and that can adapt quickly to the spectacular advance of technology, as we have seen in the development of generative ai with chat gpt, where time is pressing for us to establish transparency and safe use requirements. today in europe we are taking an important step. this law will help citizens build trust in technology and position us at the forefront of artificial intelligence.","mr president, commissioner, this is historic legislation. europe is a pioneer in having an artificial intelligence law. a technology that can bring many benefits, but that also poses clear risks in fundamental rights, security or disinformation. that is why i welcome the approach that this law has taken, because i believe it is vital to distinguish between technology and use. we do not condemn artificial intelligence itself, but risky practices. we are very clear about what is unacceptable for europe – prohibited uses, as intrusive and discriminatory – and that exceptions should only be given under judicial authorization. we want secure and transparent systems subject to rules, limits and accountability for high-risk uses such as health, environment, transportation, education or justice applications. we are also clear that we need a flexible law that encourages innovation, that gives certainty to companies and that can adapt quickly to the spectacular advance of technology, as we have seen in the development of generative ai with chat gpt, where time is pressing for us to establish transparency and safe use requirements. today in europe we are taking an important step. this law will help citizens build trust in technology and position us at the forefront of artificial intelligence.",TRUE,"Optimist","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Renew Europe Group","Ethical, Regulatory, and Governance Frameworks for AI","Renew Europe Group",5.85003050658443,154,45,24,"Center",6,"Optimist",2023,"Post-ChatGPT","Other EU Countries","female",0,0,0
440,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN101",7,19,0,0,324758,"2023-06-13","Tuesday, 13 June 2023","MEP On Behalf Of The Renew Group","Freie Demokratische Partei","female","920230613EN-101-202303","Germany","Renew Europe Group","de","Hahn, Svenja","Svenja Hahn, im Namen der Renew-Fraktion",101,"Svenja Hahn, on behalf of the Renew Group",8,"Artificial Intelligence Act (debate)",12,"mr president! the potential of artificial intelligence is so great that we can hardly imagine it today – for all areas of life, be it education, work or health. that's why it's so important that we want to use the artificial intelligence act today to lay the foundation for what kind of artificial intelligence we want to have in a liberal democracy. after all, the opportunity and risk always lie in the application. facial recognition − super handy for unlocking a mobile phone, but biometric facial recognition for surveillance in public spaces, dear colleagues, we know this from china. that has no place in a european union. we need to put a clear stop to such dangers and at the same time promote innovation made in europe. to this end, we are strengthening experimentation in real-world laboratories, for example. that's why we decided to focus on quality standards for general-purpose ai and generative ai, such as chatgpt, and not on bans or a high-risk classification. after all, we must not follow fantasies of surveillance or over-regulation in the artificial intelligence act. our goal must be to strengthen citizens' rights, boost business and innovation, so that we can make the european union a hotspot for progress and artificial intelligence.","mr president! the potential of artificial intelligence is so great that we can hardly imagine it today – for all areas of life, be it education, work or health. that's why it's so important that we want to use the artificial intelligence act today to lay the foundation for what kind of artificial intelligence we want to have in a liberal democracy. after all, the opportunity and risk always lie in the application. facial recognition − super handy for unlocking a mobile phone, but biometric facial recognition for surveillance in public spaces, dear colleagues, we know this from china. that has no place in a european union. we need to put a clear stop to such dangers and at the same time promote innovation made in europe. to this end, we are strengthening experimentation in real-world laboratories, for example. that's why we decided to focus on quality standards for general-purpose ai and generative ai, such as chatgpt, and not on bans or a high-risk classification. after all, we must not follow fantasies of surveillance or over-regulation in the artificial intelligence act. our goal must be to strengthen citizens' rights, boost business and innovation, so that we can make the european union a hotspot for progress and artificial intelligence.",TRUE,"Optimist","Yes","Against","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Renew Europe Group","Ethical, Regulatory, and Governance Frameworks for AI","Renew Europe Group",5.85003050658443,154,45,24,"Center",6,"Optimist",2023,"Post-ChatGPT","Other EU Countries","female",0,0,0
441,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN102",11,26,0,0,324759,"2023-06-13","Tuesday, 13 June 2023","MEP On Behalf Of The Verts/Ale Group","Groenlinks","female","920230613EN-102-202303","Netherlands","Group Of The Greens/European Free Alliance","nl","Van Sparrentak, Kim","Kim Van Sparrentak, namens de Verts/ALE-Fractie",102,"Kim Van Sparrentak, on behalf of the Verts/ALE Group",8,"Artificial Intelligence Act (debate)",15,"mr president, what do we want the future of our society to look like? let's let computers determine who is right or wrong, who will be a fraud or criminal, based on where you live, what sports club you are a member of, and what profession your parents have? or do we start from the good in people and give everyone a fair chance? are we opting for a society where people are continuously monitored by so-called smart cameras, so that governments and companies know exactly where you are and what you are doing every day? or do we opt for a society where you can walk freely on the streets? due to the rapid rise of artificial intelligence, we have to make fundamental choices about our future. do elected representatives of the people determine this by drawing up firm rules? or are we putting the future of our society in the hands of big tech companies under the guise of innovation? i say: let's steer artificial intelligence in the right direction, towards technology that helps people and the environment and minimises risks in using ai for human rights. after a year and a half and hundreds of hours at the negotiating table, i am also really proud that the european parliament is now making choices and will vote tomorrow on a strong right to information and explanation, so that people never stand empty-handed in front of a computer when using ai and know when an algorithm is being used. a mandatory human rights test before we deploy risky ai. strict obligations on how you design and train your systems and how you handle data. because what you put into an ai system also comes out. this also applies to discriminatory data and disinformation. and that we set limits within the rules instead of self-regulation for large models like chatgpt. for the first time worldwide, we will report on the environmental impact, and we want to make the environmental standards mandatory for systems such as chatgpt. we also want a ban on unethical technologies such as emotion recognition, gender or sexuality recognition and real-time facial recognition in public spaces. europe must choose its own path between surveillance of china and tech capitalism of america. by setting our own conditions for new technologies, we ensure that these technologies are reliable, ethical, safe and environmentally friendly in europe. this is the only way to protect our democracy and ensure that technology is used in the service of people and the environment instead of the other way around.","mr president, what do we want the future of our society to look like? let's let computers determine who is right or wrong, who will be a fraud or criminal, based on where you live, what sports club you are a member of, and what profession your parents have? or do we start from the good in people and give everyone a fair chance? are we opting for a society where people are continuously monitored by so-called smart cameras, so that governments and companies know exactly where you are and what you are doing every day? or do we opt for a society where you can walk freely on the streets? due to the rapid rise of artificial intelligence, we have to make fundamental choices about our future. do elected representatives of the people determine this by drawing up firm rules? or are we putting the future of our society in the hands of big tech companies under the guise of innovation? i say: let's steer artificial intelligence in the right direction, towards technology that helps people and the environment and minimises risks in using ai for human rights. after a year and a half and hundreds of hours at the negotiating table, i am also really proud that the european parliament is now making choices and will vote tomorrow on a strong right to information and explanation, so that people never stand empty-handed in front of a computer when using ai and know when an algorithm is being used. a mandatory human rights test before we deploy risky ai. strict obligations on how you design and train your systems and how you handle data. because what you put into an ai system also comes out. this also applies to discriminatory data and disinformation. and that we set limits within the rules instead of self-regulation for large models like chatgpt. for the first time worldwide, we will report on the environmental impact, and we want to make the environmental standards mandatory for systems such as chatgpt. we also want a ban on unethical technologies such as emotion recognition, gender or sexuality recognition and real-time facial recognition in public spaces. europe must choose its own path between surveillance of china and tech capitalism of america. by setting our own conditions for new technologies, we ensure that these technologies are reliable, ethical, safe and environmentally friendly in europe. this is the only way to protect our democracy and ensure that technology is used in the service of people and the environment instead of the other way around.",TRUE,"Mixed","Yes","In favor","Yes",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance","Ethical, Regulatory, and Governance Frameworks for AI","Group of the Greens/European Free Alliance",3.09164151450733,146,42,19,"Left",3,"Mixed",2023,"Post-ChatGPT","Other EU Countries","female",0,0,0
442,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN103",6,29,0,0,324760,"2023-06-13","Tuesday, 13 June 2023","MEP On Behalf Of The Ecr Group","Prawo I Sprawiedliwość","male","920230613EN-103-202303","Poland","European Conservatives And Reformists Group","pl","Tadeusz Zlotowski, Kosma","Kosma Złotowski, w imieniu grupy ECR",103,"Kosma Złotowski, on behalf of the ECR Group",8,"Artificial Intelligence Act (debate)",23,"madam president, i would like to thank the rapporteur. digitalization can be an effective remedy for the many challenges we face as humanity. artificial intelligence opens up new opportunities for us in many areas of life and sectors of the economy, but just like any drug, it also has side effects. therefore, we must use this technology consciously, understanding the risks and risks associated with it, but also recognizing that its development and application can bring many more benefits than problems. to achieve this, we need not only eu regulation, but also a robust global partnership to create trustworthy ai that is safe and ethical. for the ecr group, the most important thing in the work on this regulation was to strike a balance between the new administrative obligations for businesses, especially european small and medium-sized technology companies, and an adequate level of consumer and citizen protection. i thank the rapporteurs for their efforts to find this delicate compromise and my colleagues and experts who supported me during the negotiations. artificial intelligence is already with us, which is why we need these regulations as soon as possible to control and understand it. i hope that tomorrow we will take another step in this direction.","madam president, i would like to thank the rapporteur. digitalization can be an effective remedy for the many challenges we face as humanity. artificial intelligence opens up new opportunities for us in many areas of life and sectors of the economy, but just like any drug, it also has side effects. therefore, we must use this technology consciously, understanding the risks and risks associated with it, but also recognizing that its development and application can bring many more benefits than problems. to achieve this, we need not only eu regulation, but also a robust global partnership to create trustworthy ai that is safe and ethical. for the ecr group, the most important thing in the work on this regulation was to strike a balance between the new administrative obligations for businesses, especially european small and medium-sized technology companies, and an adequate level of consumer and citizen protection. i thank the rapporteurs for their efforts to find this delicate compromise and my colleagues and experts who supported me during the negotiations. artificial intelligence is already with us, which is why we need these regulations as soon as possible to control and understand it. i hope that tomorrow we will take another step in this direction.",TRUE,"Mixed","Yes","In favor","Yes",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","European Conservatives and Reformists Group","Ethical, Regulatory, and Governance Frameworks for AI","European Conservatives and Reformists Group",7.7692262698086,172,30,19,"Far-right",10,"Mixed",2023,"Post-ChatGPT","Other EU Countries","male",0,0,0
443,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN104",11,19,0,0,324761,"2023-06-13","Tuesday, 13 June 2023","MEP","Dansk Folkeparti","male","920230613EN-104-202303","Denmark","Identity And Democracy Group","da","Vistisen, Anders","Anders Vistisen, for ID-Gruppen",104,"Anders Vistisen, for the ID group",8,"Artificial Intelligence Act (debate)",8,"on behalf of the alde group. the debate we are having here today on artificial intelligence is one that is filled with ethical dilemmas and difficult questions. on the one hand, there is no doubt that technology has an incredibly great ability to potentially improve people's living conditions, be able to streamline large parts of the activity that takes place both in the private sphere, but also in the business world. but on the other hand, there are also some potential pitfalls that can be deeply problematic. in particular, the issue of the protection of minors. i think that the concern about so-called deepfakes is very real and something that requires rational regulation, and that is why we are also prepared to look at the regulation that is being put forward with a positive mind to see whether a sensible direction can not be found at european level in relation to the regulation of artificial intelligence. one of the concerns we have, however, is that when we look historically at our regulation of tech giants, there has been too little protection of free speech. there has been a tendency to go very the tech giants, and this has often led to censorship and self-censorship on the part of the tech giants, which has been a distortion of democracy and fundamental rights for the users of the platforms in question. therefore, we have a great and real concern that when we enter into the regulation of tech giants around the technological area, that we also make sure to take care of the protection of fundamental rights, including freedom of expression in our regulation, so that it is above the commercial regulation that must of course be of this new area.","on behalf of the alde group. the debate we are having here today on artificial intelligence is one that is filled with ethical dilemmas and difficult questions. on the one hand, there is no doubt that technology has an incredibly great ability to potentially improve people's living conditions, be able to streamline large parts of the activity that takes place both in the private sphere, but also in the business world. but on the other hand, there are also some potential pitfalls that can be deeply problematic. in particular, the issue of the protection of minors. i think that the concern about so-called deepfakes is very real and something that requires rational regulation, and that is why we are also prepared to look at the regulation that is being put forward with a positive mind to see whether a sensible direction can not be found at european level in relation to the regulation of artificial intelligence. one of the concerns we have, however, is that when we look historically at our regulation of tech giants, there has been too little protection of free speech. there has been a tendency to go very the tech giants, and this has often led to censorship and self-censorship on the part of the tech giants, which has been a distortion of democracy and fundamental rights for the users of the platforms in question. therefore, we have a great and real concern that when we enter into the regulation of tech giants around the technological area, that we also make sure to take care of the protection of fundamental rights, including freedom of expression in our regulation, so that it is above the commercial regulation that must of course be of this new area.",TRUE,"Mixed","Yes","In favor","Yes",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","Identity and Democracy Group","Ethical, Regulatory, and Governance Frameworks for AI","Identity and Democracy Group",8.85176997096774,62,8,8,"Far-right",12,"Mixed",2023,"Post-ChatGPT","AI-Pessimistic Countries","male",0,0,0
444,"2023-10-13T00:31:01Z","en","2023-06-13-920230613EN105",9,18,2,0,324762,"2023-06-13","Tuesday, 13 June 2023","MEP","Komunistická Strana Čech A Moravy","female","920230613EN-105-202303","Czechia","The Left Group In The European Parliament - GUE/NGL","cs","Konečná, Kateřina","Kateřina Konečná, za skupinu The Left",105,"Kateřina Konečná, za skupinu The Left",8,"Artificial Intelligence Act (debate)",9,"mr president, commissioner, colleagues, if adopted, the artificial intelligence act would be the world's first rules for artificial intelligence. this is certainly a very ambitious goal for the european union to be the first in the world in this area and thus set trends in the regulation of these rapidly developing technologies. therefore, it should not only be ambitious how many we will be in the world, but also, above all, whether these rules will be ambitious and will really serve the citizens and the protection of the citizens of the european union, their fundamental rights or their health. unfortunately, the text that emerged from the imco and libe negotiations lacks ambitious rules. there are no cases where using ai to determine people's access to education, evaluate job applicants, or make decisions about dismissal will not be a high-risk use. if we really want to protect citizens, the strictest possible rules and controls must apply to these uses. but in the current text, these uses would not automatically be rated as high-risk. i repeat, there is no case where leaving the fate of employees to artificial intelligence will not be high-risk. precaution is therefore entirely appropriate and is nevertheless missing from the text. at the same time, it is not good regulation if it allows employees to be monitored in the workplace with the help of artificial intelligence without their consent. is our real aim to show that this corporate dystopia, where employees' every move is monitored in the workplace by their superiors and employers, is ok in europe? if not, the use of ai for this purpose needs to be disabled. together with my colleague mrs ernst, we have tabled a number of amendments which put the protection of citizens first. if adopted, this proposal will also be possible. however, if these comments are not addressed and our amendments are not adopted, it is not possible for me to support this proposal.","mr president, commissioner, colleagues, if adopted, the artificial intelligence act would be the world's first rules for artificial intelligence. this is certainly a very ambitious goal for the european union to be the first in the world in this area and thus set trends in the regulation of these rapidly developing technologies. therefore, it should not only be ambitious how many we will be in the world, but also, above all, whether these rules will be ambitious and will really serve the citizens and the protection of the citizens of the european union, their fundamental rights or their health. unfortunately, the text that emerged from the imco and libe negotiations lacks ambitious rules. there are no cases where using ai to determine people's access to education, evaluate job applicants, or make decisions about dismissal will not be a high-risk use. if we really want to protect citizens, the strictest possible rules and controls must apply to these uses. but in the current text, these uses would not automatically be rated as high-risk. i repeat, there is no case where leaving the fate of employees to artificial intelligence will not be high-risk. precaution is therefore entirely appropriate and is nevertheless missing from the text. at the same time, it is not good regulation if it allows employees to be monitored in the workplace with the help of artificial intelligence without their consent. is our real aim to show that this corporate dystopia, where employees' every move is monitored in the workplace by their superiors and employers, is ok in europe? if not, the use of ai for this purpose needs to be disabled. together with my colleague mrs ernst, we have tabled a number of amendments which put the protection of citizens first. if adopted, this proposal will also be possible. however, if these comments are not addressed and our amendments are not adopted, it is not possible for me to support this proposal.",TRUE,"Mixed","Yes","In favor","No",9,NA,TRUE,2,"Ethical, Regulatory, and Governance Frameworks for AI","The Left Group in the European Parliament - GUE/NGL","Ethical, Regulatory, and Governance Frameworks for AI","The Left Group in the European Parliament - GUE/NGL",1.95240070210526,76,22,14,"Far-left",1,"Mixed",2023,"Post-ChatGPT","Other EU Countries","female",0,0,0
